Date,SPX,AMZN,AAPL,SPY,FB,TSLA,MSFT,QQQ,NFLX,JPM,DIS,NVDA,BA,GOOGL,ZM,T,NDX,IWM,GOOG,BAC,BYND,INTC,JNJ
4/6/2020,320.61%,308.37%,440.41%,265.05%,326.19%,98.78%,299.51%,310.46%,387.94%,52.54%,232.98%,490.31%,1012.97%,424.27%,757.28%,355.54%,324.93%,314.30%,412.81%,168.30%,480.89%,308.06%,196.77%
4/7/2020,-289.34%,-27.84%,-437.87%,-342.47%,-175.32%,8.25%,-373.11%,-292.26%,-207.37%,-420.34%,-357.57%,-705.68%,-1442.29%,-290.88%,-374.51%,-118.94%,-295.89%,-350.69%,-289.90%,-298.10%,-382.62%,-263.70%,-173.12%
4/8/2020,242.01%,107.68%,124.77%,221.51%,173.86%,-98.39%,-32.70%,124.15%,-77.87%,233.30%,53.43%,133.35%,-43.58%,31.48%,236.82%,-17.73%,115.73%,270.18%,29.75%,443.50%,161.22%,-1.70%,384.62%
4/9/2020,46.20%,-7.83%,-26.87%,22.29%,-40.53%,191.10%,-73.88%,-70.20%,-9.17%,568.31%,-327.27%,-343.78%,-189.01%,-96.14%,538.91%,237.17%,-55.57%,145.49%,-104.01%,317.78%,85.75%,-388.52%,-196.84%
4/13/2020,-74.86%,593.88%,180.06%,-53.69%,64.08%,935.48%,70.09%,153.18%,640.50%,-501.07%,-116.91%,343.91%,-554.54%,72.70%,656.27%,-105.36%,147.68%,145.49%,68.99%,-359.53%,477.37%,362.86%,-16.46%
4/14/2020,146.02%,363.49%,245.26%,99.02%,-45.46%,154.24%,270.58%,221.37%,388.10%,-578.01%,49.99%,315.54%,-674.47%,199.18%,57.79%,140.49%,233.42%,-88.75%,190.67%,-324.48%,-248.56%,102.21%,41.77%
4/15/2020,-43.93%,216.68%,71.72%,6.84%,100.58%,-166.46%,39.56%,45.36%,322.20%,-39.65%,-98.67%,129.61%,478.15%,85.89%,649.91%,-180.54%,50.62%,-5.09%,133.08%,13.52%,-269.08%,-147.78%,142.90%
4/16/2020,0.75%,258.28%,-25.12%,-1.79%,-96.45%,378.42%,154.77%,68.93%,49.41%,-332.07%,-148.01%,259.23%,-537.84%,-77.94%,22.63%,-39.54%,78.49%,-100.93%,-85.48%,-340.80%,-80.19%,194.11%,90.87%
4/17/2020,113.04%,10.95%,-66.48%,43.96%,2.23%,-244.73%,-50.39%,-31.12%,-190.09%,334.10%,39.39%,-194.31%,298.05%,-20.33%,143.28%,123.04%,-50.10%,13.11%,-12.47%,403.78%,-113.12%,-275.02%,1.97%
4/20/2020,-78.93%,15.04%,-37.56%,-36.22%,46.57%,182.88%,-89.68%,-24.91%,53.03%,-82.87%,-129.08%,-6.97%,-250.68%,-68.19%,-289.28%,42.77%,-18.37%,85.39%,-34.74%,-31.11%,364.00%,-16.90%,48.79%
