Date,$SPX
2020/04/09,1
2020/04/13,0
2020/04/14,0
2020/04/16,0
2020/04/17,1
2020/04/22,1
2020/04/28,-1
2020/04/29,1
2020/05/30,-1
2020/06/01,-1
2020/06/05,-1
2020/06/09,-1
2020/06/11,1
2020/06/14,-1
2020/06/15,-1
2020/06/16,1
2020/06/18,-1
2020/06/23,1
2020/06/26,0
2020/06/29,1
2020/07/02,1
2020/07/06,1
2020/07/07,-1
2020/07/09,-1
2020/07/10,1
2020/07/12,1
2020/07/14,-1
2020/07/15,1
2020/05/28,0
2020/07/13,1
2020/06/30,1
2020/04/23,1
2020/04/10,-1
2020/04/18,-1
2020/04/21,-1
2020/04/19,-1
2020/04/20,0
2020/04/26,-1
2020/05/06,-1
2020/05/07,1
2020/05/09,-1
2020/07/05,-1
